medicine_name,category,symptoms,cleaned_symptoms
Losartan 249,Blood Pressure,"Hypertension, Kidney Protection","hypertension, kidney protection"
Ranitidine 250,Acid Reflux,"GERD, Acid Reflux, Indigestion","gerd, acid reflux, indigestion"
Gliclazide 251,Diabetes,"Type 2 Diabetes, Blood Sugar Control","type 2 diabetes, blood sugar control"
Ranitidine 252,Acid Reflux,"GERD, Acid Reflux, Indigestion","gerd, acid reflux, indigestion"
Paracetamol 253,Pain Reliever,"Fever, Headache, Body Pain","fever, headache, body pain"
Amoxicillin 254,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Metformin 255,Diabetes,"High Blood Sugar, Type 2 Diabetes","high blood sugar, type 2 diabetes"
Metformin 256,Diabetes,"High Blood Sugar, Type 2 Diabetes","high blood sugar, type 2 diabetes"
Ranitidine 257,Acid Reflux,"GERD, Acid Reflux, Indigestion","gerd, acid reflux, indigestion"
Amoxicillin 258,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Telmisartan 259,Blood Pressure,"Hypertension, Cardiovascular Risk","hypertension, cardiovascular risk"
Amlodipine 260,Blood Pressure,"Hypertension, Angina","hypertension, angina"
Gliclazide 261,Diabetes,"Type 2 Diabetes, Blood Sugar Control","type 2 diabetes, blood sugar control"
Atorvastatin 262,Cholesterol,"High Cholesterol, Heart Disease","high cholesterol, heart disease"
Losartan 263,Blood Pressure,"Hypertension, Kidney Protection","hypertension, kidney protection"
Metformin 264,Diabetes,"High Blood Sugar, Type 2 Diabetes","high blood sugar, type 2 diabetes"
Gliclazide 265,Diabetes,"Type 2 Diabetes, Blood Sugar Control","type 2 diabetes, blood sugar control"
Amoxicillin 266,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Telmisartan 267,Blood Pressure,"Hypertension, Cardiovascular Risk","hypertension, cardiovascular risk"
Amoxicillin 268,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Amlodipine 269,Blood Pressure,"Hypertension, Angina","hypertension, angina"
Paracetamol 270,Pain Reliever,"Fever, Headache, Body Pain","fever, headache, body pain"
Metformin 271,Diabetes,"High Blood Sugar, Type 2 Diabetes","high blood sugar, type 2 diabetes"
Omeprazole 272,Acid Reflux,"Heartburn, GERD, Acid Reflux","heartburn, gerd, acid reflux"
Paracetamol 273,Pain Reliever,"Fever, Headache, Body Pain","fever, headache, body pain"
Losartan 274,Blood Pressure,"Hypertension, Kidney Protection","hypertension, kidney protection"
Atorvastatin 275,Cholesterol,"High Cholesterol, Heart Disease","high cholesterol, heart disease"
Metformin 276,Diabetes,"High Blood Sugar, Type 2 Diabetes","high blood sugar, type 2 diabetes"
Losartan 277,Blood Pressure,"Hypertension, Kidney Protection","hypertension, kidney protection"
Metformin 278,Diabetes,"High Blood Sugar, Type 2 Diabetes","high blood sugar, type 2 diabetes"
Amlodipine 279,Blood Pressure,"Hypertension, Angina","hypertension, angina"
Cetirizine 280,Antihistamine,"Allergy, Sneezing, Runny Nose","allergy, sneezing, runny nose"
Amlodipine 281,Blood Pressure,"Hypertension, Angina","hypertension, angina"
Omeprazole 282,Acid Reflux,"Heartburn, GERD, Acid Reflux","heartburn, gerd, acid reflux"
Levothyroxine 283,Thyroid,"Hypothyroidism, Thyroid Disorders","hypothyroidism, thyroid disorders"
Aspirin 284,Pain Reliever,"Fever, Pain, Heart Attack Prevention","fever, pain, heart attack prevention"
Losartan 285,Blood Pressure,"Hypertension, Kidney Protection","hypertension, kidney protection"
Telmisartan 286,Blood Pressure,"Hypertension, Cardiovascular Risk","hypertension, cardiovascular risk"
Prednisolone 287,Steroid,"Inflammation, Asthma, Autoimmune Diseases","inflammation, asthma, autoimmune diseases"
Telmisartan 288,Blood Pressure,"Hypertension, Cardiovascular Risk","hypertension, cardiovascular risk"
Telmisartan 289,Blood Pressure,"Hypertension, Cardiovascular Risk","hypertension, cardiovascular risk"
Metformin 290,Diabetes,"High Blood Sugar, Type 2 Diabetes","high blood sugar, type 2 diabetes"
Amlodipine 291,Blood Pressure,"Hypertension, Angina","hypertension, angina"
Atorvastatin 292,Cholesterol,"High Cholesterol, Heart Disease","high cholesterol, heart disease"
Losartan 293,Blood Pressure,"Hypertension, Kidney Protection","hypertension, kidney protection"
Ibuprofen 294,Pain Reliever,"Inflammation, Headache, Muscle Pain","inflammation, headache, muscle pain"
Gliclazide 295,Diabetes,"Type 2 Diabetes, Blood Sugar Control","type 2 diabetes, blood sugar control"
Aspirin 296,Pain Reliever,"Fever, Pain, Heart Attack Prevention","fever, pain, heart attack prevention"
Omeprazole 297,Acid Reflux,"Heartburn, GERD, Acid Reflux","heartburn, gerd, acid reflux"
Gliclazide 298,Diabetes,"Type 2 Diabetes, Blood Sugar Control","type 2 diabetes, blood sugar control"
Ibuprofen 299,Pain Reliever,"Inflammation, Headache, Muscle Pain","inflammation, headache, muscle pain"
Amlodipine 300,Blood Pressure,"Hypertension, Angina","hypertension, angina"
Amoxicillin 301,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Gliclazide 302,Diabetes,"Type 2 Diabetes, Blood Sugar Control","type 2 diabetes, blood sugar control"
Paracetamol 303,Pain Reliever,"Fever, Headache, Body Pain","fever, headache, body pain"
Amoxicillin 304,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Aspirin 305,Pain Reliever,"Fever, Pain, Heart Attack Prevention","fever, pain, heart attack prevention"
Amlodipine 306,Blood Pressure,"Hypertension, Angina","hypertension, angina"
Gliclazide 307,Diabetes,"Type 2 Diabetes, Blood Sugar Control","type 2 diabetes, blood sugar control"
Atorvastatin 308,Cholesterol,"High Cholesterol, Heart Disease","high cholesterol, heart disease"
Ranitidine 309,Acid Reflux,"GERD, Acid Reflux, Indigestion","gerd, acid reflux, indigestion"
Levothyroxine 310,Thyroid,"Hypothyroidism, Thyroid Disorders","hypothyroidism, thyroid disorders"
Amoxicillin 311,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Levothyroxine 312,Thyroid,"Hypothyroidism, Thyroid Disorders","hypothyroidism, thyroid disorders"
Ibuprofen 313,Pain Reliever,"Inflammation, Headache, Muscle Pain","inflammation, headache, muscle pain"
Ibuprofen 314,Pain Reliever,"Inflammation, Headache, Muscle Pain","inflammation, headache, muscle pain"
Omeprazole 315,Acid Reflux,"Heartburn, GERD, Acid Reflux","heartburn, gerd, acid reflux"
Levothyroxine 316,Thyroid,"Hypothyroidism, Thyroid Disorders","hypothyroidism, thyroid disorders"
Amoxicillin 317,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Gliclazide 318,Diabetes,"Type 2 Diabetes, Blood Sugar Control","type 2 diabetes, blood sugar control"
Aspirin 319,Pain Reliever,"Fever, Pain, Heart Attack Prevention","fever, pain, heart attack prevention"
Telmisartan 320,Blood Pressure,"Hypertension, Cardiovascular Risk","hypertension, cardiovascular risk"
Levothyroxine 321,Thyroid,"Hypothyroidism, Thyroid Disorders","hypothyroidism, thyroid disorders"
Metformin 322,Diabetes,"High Blood Sugar, Type 2 Diabetes","high blood sugar, type 2 diabetes"
Telmisartan 323,Blood Pressure,"Hypertension, Cardiovascular Risk","hypertension, cardiovascular risk"
Gliclazide 324,Diabetes,"Type 2 Diabetes, Blood Sugar Control","type 2 diabetes, blood sugar control"
Ranitidine 325,Acid Reflux,"GERD, Acid Reflux, Indigestion","gerd, acid reflux, indigestion"
Ibuprofen 326,Pain Reliever,"Inflammation, Headache, Muscle Pain","inflammation, headache, muscle pain"
Ibuprofen 327,Pain Reliever,"Inflammation, Headache, Muscle Pain","inflammation, headache, muscle pain"
Aspirin 328,Pain Reliever,"Fever, Pain, Heart Attack Prevention","fever, pain, heart attack prevention"
Omeprazole 329,Acid Reflux,"Heartburn, GERD, Acid Reflux","heartburn, gerd, acid reflux"
Losartan 330,Blood Pressure,"Hypertension, Kidney Protection","hypertension, kidney protection"
Losartan 331,Blood Pressure,"Hypertension, Kidney Protection","hypertension, kidney protection"
Losartan 332,Blood Pressure,"Hypertension, Kidney Protection","hypertension, kidney protection"
Prednisolone 333,Steroid,"Inflammation, Asthma, Autoimmune Diseases","inflammation, asthma, autoimmune diseases"
Levothyroxine 334,Thyroid,"Hypothyroidism, Thyroid Disorders","hypothyroidism, thyroid disorders"
Levothyroxine 335,Thyroid,"Hypothyroidism, Thyroid Disorders","hypothyroidism, thyroid disorders"
Gliclazide 336,Diabetes,"Type 2 Diabetes, Blood Sugar Control","type 2 diabetes, blood sugar control"
Ranitidine 337,Acid Reflux,"GERD, Acid Reflux, Indigestion","gerd, acid reflux, indigestion"
Levothyroxine 338,Thyroid,"Hypothyroidism, Thyroid Disorders","hypothyroidism, thyroid disorders"
Omeprazole 339,Acid Reflux,"Heartburn, GERD, Acid Reflux","heartburn, gerd, acid reflux"
Atorvastatin 340,Cholesterol,"High Cholesterol, Heart Disease","high cholesterol, heart disease"
Ranitidine 341,Acid Reflux,"GERD, Acid Reflux, Indigestion","gerd, acid reflux, indigestion"
Omeprazole 342,Acid Reflux,"Heartburn, GERD, Acid Reflux","heartburn, gerd, acid reflux"
Aspirin 343,Pain Reliever,"Fever, Pain, Heart Attack Prevention","fever, pain, heart attack prevention"
Paracetamol 344,Pain Reliever,"Fever, Headache, Body Pain","fever, headache, body pain"
Amoxicillin 345,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Prednisolone 346,Steroid,"Inflammation, Asthma, Autoimmune Diseases","inflammation, asthma, autoimmune diseases"
Paracetamol 347,Pain Reliever,"Fever, Headache, Body Pain","fever, headache, body pain"
Paracetamol 348,Pain Reliever,"Fever, Headache, Body Pain","fever, headache, body pain"
Ranitidine 349,Acid Reflux,"GERD, Acid Reflux, Indigestion","gerd, acid reflux, indigestion"
Aspirin 350,Pain Reliever,"Fever, Pain, Heart Attack Prevention","fever, pain, heart attack prevention"
Ranitidine 351,Acid Reflux,"GERD, Acid Reflux, Indigestion","gerd, acid reflux, indigestion"
Ibuprofen 352,Pain Reliever,"Inflammation, Headache, Muscle Pain","inflammation, headache, muscle pain"
Ibuprofen 353,Pain Reliever,"Inflammation, Headache, Muscle Pain","inflammation, headache, muscle pain"
Cetirizine 354,Antihistamine,"Allergy, Sneezing, Runny Nose","allergy, sneezing, runny nose"
Amlodipine 355,Blood Pressure,"Hypertension, Angina","hypertension, angina"
Atorvastatin 356,Cholesterol,"High Cholesterol, Heart Disease","high cholesterol, heart disease"
Aspirin 357,Pain Reliever,"Fever, Pain, Heart Attack Prevention","fever, pain, heart attack prevention"
Omeprazole 358,Acid Reflux,"Heartburn, GERD, Acid Reflux","heartburn, gerd, acid reflux"
Gliclazide 359,Diabetes,"Type 2 Diabetes, Blood Sugar Control","type 2 diabetes, blood sugar control"
Losartan 360,Blood Pressure,"Hypertension, Kidney Protection","hypertension, kidney protection"
Amoxicillin 361,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Levothyroxine 362,Thyroid,"Hypothyroidism, Thyroid Disorders","hypothyroidism, thyroid disorders"
Metformin 363,Diabetes,"High Blood Sugar, Type 2 Diabetes","high blood sugar, type 2 diabetes"
Amlodipine 364,Blood Pressure,"Hypertension, Angina","hypertension, angina"
Levothyroxine 365,Thyroid,"Hypothyroidism, Thyroid Disorders","hypothyroidism, thyroid disorders"
Amlodipine 366,Blood Pressure,"Hypertension, Angina","hypertension, angina"
Levothyroxine 367,Thyroid,"Hypothyroidism, Thyroid Disorders","hypothyroidism, thyroid disorders"
Paracetamol 368,Pain Reliever,"Fever, Headache, Body Pain","fever, headache, body pain"
Losartan 369,Blood Pressure,"Hypertension, Kidney Protection","hypertension, kidney protection"
Cetirizine 370,Antihistamine,"Allergy, Sneezing, Runny Nose","allergy, sneezing, runny nose"
Losartan 371,Blood Pressure,"Hypertension, Kidney Protection","hypertension, kidney protection"
Aspirin 372,Pain Reliever,"Fever, Pain, Heart Attack Prevention","fever, pain, heart attack prevention"
Amoxicillin 373,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Amlodipine 374,Blood Pressure,"Hypertension, Angina","hypertension, angina"
Amlodipine 375,Blood Pressure,"Hypertension, Angina","hypertension, angina"
Prednisolone 376,Steroid,"Inflammation, Asthma, Autoimmune Diseases","inflammation, asthma, autoimmune diseases"
Ibuprofen 377,Pain Reliever,"Inflammation, Headache, Muscle Pain","inflammation, headache, muscle pain"
Cetirizine 378,Antihistamine,"Allergy, Sneezing, Runny Nose","allergy, sneezing, runny nose"
Aspirin 379,Pain Reliever,"Fever, Pain, Heart Attack Prevention","fever, pain, heart attack prevention"
Ibuprofen 380,Pain Reliever,"Inflammation, Headache, Muscle Pain","inflammation, headache, muscle pain"
Amoxicillin 381,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Metformin 382,Diabetes,"High Blood Sugar, Type 2 Diabetes","high blood sugar, type 2 diabetes"
Gliclazide 383,Diabetes,"Type 2 Diabetes, Blood Sugar Control","type 2 diabetes, blood sugar control"
Gliclazide 384,Diabetes,"Type 2 Diabetes, Blood Sugar Control","type 2 diabetes, blood sugar control"
Ranitidine 385,Acid Reflux,"GERD, Acid Reflux, Indigestion","gerd, acid reflux, indigestion"
Ibuprofen 386,Pain Reliever,"Inflammation, Headache, Muscle Pain","inflammation, headache, muscle pain"
Omeprazole 387,Acid Reflux,"Heartburn, GERD, Acid Reflux","heartburn, gerd, acid reflux"
Cetirizine 388,Antihistamine,"Allergy, Sneezing, Runny Nose","allergy, sneezing, runny nose"
Losartan 389,Blood Pressure,"Hypertension, Kidney Protection","hypertension, kidney protection"
Losartan 390,Blood Pressure,"Hypertension, Kidney Protection","hypertension, kidney protection"
Aspirin 391,Pain Reliever,"Fever, Pain, Heart Attack Prevention","fever, pain, heart attack prevention"
Ibuprofen 392,Pain Reliever,"Inflammation, Headache, Muscle Pain","inflammation, headache, muscle pain"
Paracetamol 393,Pain Reliever,"Fever, Headache, Body Pain","fever, headache, body pain"
Atorvastatin 394,Cholesterol,"High Cholesterol, Heart Disease","high cholesterol, heart disease"
Prednisolone 395,Steroid,"Inflammation, Asthma, Autoimmune Diseases","inflammation, asthma, autoimmune diseases"
Levothyroxine 396,Thyroid,"Hypothyroidism, Thyroid Disorders","hypothyroidism, thyroid disorders"
Prednisolone 397,Steroid,"Inflammation, Asthma, Autoimmune Diseases","inflammation, asthma, autoimmune diseases"
Paracetamol 398,Pain Reliever,"Fever, Headache, Body Pain","fever, headache, body pain"
Gliclazide 399,Diabetes,"Type 2 Diabetes, Blood Sugar Control","type 2 diabetes, blood sugar control"
Metformin 400,Diabetes,"High Blood Sugar, Type 2 Diabetes","high blood sugar, type 2 diabetes"
Omeprazole 401,Acid Reflux,"Heartburn, GERD, Acid Reflux","heartburn, gerd, acid reflux"
Levothyroxine 402,Thyroid,"Hypothyroidism, Thyroid Disorders","hypothyroidism, thyroid disorders"
Levothyroxine 403,Thyroid,"Hypothyroidism, Thyroid Disorders","hypothyroidism, thyroid disorders"
Amlodipine 404,Blood Pressure,"Hypertension, Angina","hypertension, angina"
Metformin 405,Diabetes,"High Blood Sugar, Type 2 Diabetes","high blood sugar, type 2 diabetes"
Levothyroxine 406,Thyroid,"Hypothyroidism, Thyroid Disorders","hypothyroidism, thyroid disorders"
Paracetamol 407,Pain Reliever,"Fever, Headache, Body Pain","fever, headache, body pain"
Telmisartan 408,Blood Pressure,"Hypertension, Cardiovascular Risk","hypertension, cardiovascular risk"
Losartan 409,Blood Pressure,"Hypertension, Kidney Protection","hypertension, kidney protection"
Aspirin 410,Pain Reliever,"Fever, Pain, Heart Attack Prevention","fever, pain, heart attack prevention"
Gliclazide 411,Diabetes,"Type 2 Diabetes, Blood Sugar Control","type 2 diabetes, blood sugar control"
Amoxicillin 412,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Ranitidine 413,Acid Reflux,"GERD, Acid Reflux, Indigestion","gerd, acid reflux, indigestion"
Prednisolone 414,Steroid,"Inflammation, Asthma, Autoimmune Diseases","inflammation, asthma, autoimmune diseases"
Amlodipine 415,Blood Pressure,"Hypertension, Angina","hypertension, angina"
Levothyroxine 416,Thyroid,"Hypothyroidism, Thyroid Disorders","hypothyroidism, thyroid disorders"
Paracetamol 417,Pain Reliever,"Fever, Headache, Body Pain","fever, headache, body pain"
Levothyroxine 418,Thyroid,"Hypothyroidism, Thyroid Disorders","hypothyroidism, thyroid disorders"
Prednisolone 419,Steroid,"Inflammation, Asthma, Autoimmune Diseases","inflammation, asthma, autoimmune diseases"
Omeprazole 420,Acid Reflux,"Heartburn, GERD, Acid Reflux","heartburn, gerd, acid reflux"
Prednisolone 421,Steroid,"Inflammation, Asthma, Autoimmune Diseases","inflammation, asthma, autoimmune diseases"
Amlodipine 422,Blood Pressure,"Hypertension, Angina","hypertension, angina"
Ranitidine 423,Acid Reflux,"GERD, Acid Reflux, Indigestion","gerd, acid reflux, indigestion"
Levothyroxine 424,Thyroid,"Hypothyroidism, Thyroid Disorders","hypothyroidism, thyroid disorders"
Ibuprofen 425,Pain Reliever,"Inflammation, Headache, Muscle Pain","inflammation, headache, muscle pain"
Ranitidine 426,Acid Reflux,"GERD, Acid Reflux, Indigestion","gerd, acid reflux, indigestion"
Amoxicillin 427,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Gliclazide 428,Diabetes,"Type 2 Diabetes, Blood Sugar Control","type 2 diabetes, blood sugar control"
Atorvastatin 429,Cholesterol,"High Cholesterol, Heart Disease","high cholesterol, heart disease"
Aspirin 430,Pain Reliever,"Fever, Pain, Heart Attack Prevention","fever, pain, heart attack prevention"
Paracetamol 431,Pain Reliever,"Fever, Headache, Body Pain","fever, headache, body pain"
Losartan 432,Blood Pressure,"Hypertension, Kidney Protection","hypertension, kidney protection"
Prednisolone 433,Steroid,"Inflammation, Asthma, Autoimmune Diseases","inflammation, asthma, autoimmune diseases"
Metformin 434,Diabetes,"High Blood Sugar, Type 2 Diabetes","high blood sugar, type 2 diabetes"
Prednisolone 435,Steroid,"Inflammation, Asthma, Autoimmune Diseases","inflammation, asthma, autoimmune diseases"
Telmisartan 436,Blood Pressure,"Hypertension, Cardiovascular Risk","hypertension, cardiovascular risk"
Omeprazole 437,Acid Reflux,"Heartburn, GERD, Acid Reflux","heartburn, gerd, acid reflux"
Ranitidine 438,Acid Reflux,"GERD, Acid Reflux, Indigestion","gerd, acid reflux, indigestion"
Ranitidine 439,Acid Reflux,"GERD, Acid Reflux, Indigestion","gerd, acid reflux, indigestion"
Prednisolone 440,Steroid,"Inflammation, Asthma, Autoimmune Diseases","inflammation, asthma, autoimmune diseases"
Ranitidine 441,Acid Reflux,"GERD, Acid Reflux, Indigestion","gerd, acid reflux, indigestion"
Prednisolone 442,Steroid,"Inflammation, Asthma, Autoimmune Diseases","inflammation, asthma, autoimmune diseases"
Omeprazole 443,Acid Reflux,"Heartburn, GERD, Acid Reflux","heartburn, gerd, acid reflux"
Gliclazide 444,Diabetes,"Type 2 Diabetes, Blood Sugar Control","type 2 diabetes, blood sugar control"
Metformin 445,Diabetes,"High Blood Sugar, Type 2 Diabetes","high blood sugar, type 2 diabetes"
Paracetamol 446,Pain Reliever,"Fever, Headache, Body Pain","fever, headache, body pain"
Ibuprofen 447,Pain Reliever,"Inflammation, Headache, Muscle Pain","inflammation, headache, muscle pain"
Paracetamol 448,Pain Reliever,"Fever, Headache, Body Pain","fever, headache, body pain"
Atorvastatin 449,Cholesterol,"High Cholesterol, Heart Disease","high cholesterol, heart disease"
Amoxicillin 450,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Ibuprofen 451,Pain Reliever,"Inflammation, Headache, Muscle Pain","inflammation, headache, muscle pain"
Telmisartan 452,Blood Pressure,"Hypertension, Cardiovascular Risk","hypertension, cardiovascular risk"
Ranitidine 453,Acid Reflux,"GERD, Acid Reflux, Indigestion","gerd, acid reflux, indigestion"
Ranitidine 454,Acid Reflux,"GERD, Acid Reflux, Indigestion","gerd, acid reflux, indigestion"
Cetirizine 455,Antihistamine,"Allergy, Sneezing, Runny Nose","allergy, sneezing, runny nose"
Omeprazole 456,Acid Reflux,"Heartburn, GERD, Acid Reflux","heartburn, gerd, acid reflux"
Losartan 457,Blood Pressure,"Hypertension, Kidney Protection","hypertension, kidney protection"
Telmisartan 458,Blood Pressure,"Hypertension, Cardiovascular Risk","hypertension, cardiovascular risk"
Aspirin 459,Pain Reliever,"Fever, Pain, Heart Attack Prevention","fever, pain, heart attack prevention"
Aspirin 460,Pain Reliever,"Fever, Pain, Heart Attack Prevention","fever, pain, heart attack prevention"
Omeprazole 461,Acid Reflux,"Heartburn, GERD, Acid Reflux","heartburn, gerd, acid reflux"
Amoxicillin 462,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Metformin 463,Diabetes,"High Blood Sugar, Type 2 Diabetes","high blood sugar, type 2 diabetes"
Ibuprofen 464,Pain Reliever,"Inflammation, Headache, Muscle Pain","inflammation, headache, muscle pain"
Aspirin 465,Pain Reliever,"Fever, Pain, Heart Attack Prevention","fever, pain, heart attack prevention"
Paracetamol 466,Pain Reliever,"Fever, Headache, Body Pain","fever, headache, body pain"
Paracetamol 467,Pain Reliever,"Fever, Headache, Body Pain","fever, headache, body pain"
Prednisolone 468,Steroid,"Inflammation, Asthma, Autoimmune Diseases","inflammation, asthma, autoimmune diseases"
Amoxicillin 469,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Cetirizine 470,Antihistamine,"Allergy, Sneezing, Runny Nose","allergy, sneezing, runny nose"
Amlodipine 471,Blood Pressure,"Hypertension, Angina","hypertension, angina"
Metformin 472,Diabetes,"High Blood Sugar, Type 2 Diabetes","high blood sugar, type 2 diabetes"
Metformin 473,Diabetes,"High Blood Sugar, Type 2 Diabetes","high blood sugar, type 2 diabetes"
Paracetamol 474,Pain Reliever,"Fever, Headache, Body Pain","fever, headache, body pain"
Atorvastatin 475,Cholesterol,"High Cholesterol, Heart Disease","high cholesterol, heart disease"
Ibuprofen 476,Pain Reliever,"Inflammation, Headache, Muscle Pain","inflammation, headache, muscle pain"
Amoxicillin 477,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Amlodipine 478,Blood Pressure,"Hypertension, Angina","hypertension, angina"
Levothyroxine 479,Thyroid,"Hypothyroidism, Thyroid Disorders","hypothyroidism, thyroid disorders"
Ibuprofen 480,Pain Reliever,"Inflammation, Headache, Muscle Pain","inflammation, headache, muscle pain"
Atorvastatin 481,Cholesterol,"High Cholesterol, Heart Disease","high cholesterol, heart disease"
Levothyroxine 482,Thyroid,"Hypothyroidism, Thyroid Disorders","hypothyroidism, thyroid disorders"
Gliclazide 483,Diabetes,"Type 2 Diabetes, Blood Sugar Control","type 2 diabetes, blood sugar control"
Paracetamol 484,Pain Reliever,"Fever, Headache, Body Pain","fever, headache, body pain"
Amlodipine 485,Blood Pressure,"Hypertension, Angina","hypertension, angina"
Metformin 486,Diabetes,"High Blood Sugar, Type 2 Diabetes","high blood sugar, type 2 diabetes"
Levothyroxine 487,Thyroid,"Hypothyroidism, Thyroid Disorders","hypothyroidism, thyroid disorders"
Cetirizine 488,Antihistamine,"Allergy, Sneezing, Runny Nose","allergy, sneezing, runny nose"
Atorvastatin 489,Cholesterol,"High Cholesterol, Heart Disease","high cholesterol, heart disease"
Amlodipine 490,Blood Pressure,"Hypertension, Angina","hypertension, angina"
Prednisolone 491,Steroid,"Inflammation, Asthma, Autoimmune Diseases","inflammation, asthma, autoimmune diseases"
Ibuprofen 492,Pain Reliever,"Inflammation, Headache, Muscle Pain","inflammation, headache, muscle pain"
Levothyroxine 493,Thyroid,"Hypothyroidism, Thyroid Disorders","hypothyroidism, thyroid disorders"
Ranitidine 494,Acid Reflux,"GERD, Acid Reflux, Indigestion","gerd, acid reflux, indigestion"
Atorvastatin 495,Cholesterol,"High Cholesterol, Heart Disease","high cholesterol, heart disease"
Amoxicillin 496,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection","bacterial infections, pneumonia, ear infection"
Metformin 497,Diabetes,"High Blood Sugar, Type 2 Diabetes","high blood sugar, type 2 diabetes"
Aspirin 498,Pain Reliever,"Fever, Pain, Heart Attack Prevention","fever, pain, heart attack prevention"
Aspirin 499,Pain Reliever,"Fever, Pain, Heart Attack Prevention","fever, pain, heart attack prevention"
Atorvastatin 500,Cholesterol,"High Cholesterol, Heart Disease","high cholesterol, heart disease"
